repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,distinct_branches,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,z_distinct_branches,max_z,anomaly_feature
infonl/dimpact-zaakafhandelcomponent,146,10,0.4726027397260274,14.6,0.000589636929041638,31,1.9383541116545697,2.2833605422836887,0.8422518922410208,0.15180181653901542,-0.8760420072506309,5.43515759227521,5.43515759227521,distinct_branches
kentavr34/chesscoin,38,1,0.0,38.0,0.00024093941007887596,31,0.45375273831289736,-0.050671985279635054,-0.46454989815209413,0.49112144177843126,-0.87668718917554,5.43515759227521,5.43515759227521,distinct_branches
acceldata-io/ozone2,34,2,0.0,17.0,0.0005797496845479658,31,0.3987675022632058,0.2086649622274009,-0.46454989815209413,0.18660382938408374,-0.8760603012478277,5.43515759227521,5.43515759227521,distinct_branches
flink-ci/flink,56,1,0.0,56.0,0.00023677745878592359,31,0.7011863005365094,-0.050671985279635054,-0.46454989815209413,0.7521365381164434,-0.876694889877726,5.43515759227521,5.43515759227521,distinct_branches
suprabhatgurrala/nba-wins-pool,71,1,0.0,71.0,0.0007800997648713385,31,0.9073809357228528,-0.050671985279635054,-0.46454989815209413,0.9696491183981204,-0.8756896010178312,5.43515759227521,5.43515759227521,distinct_branches
basilisk-labs/agentplane,130,2,0.3769230769230769,65.0,0.0006263309532757109,31,1.7184131674558036,0.2086649622274009,0.577686446159204,0.8826440862854495,-0.8759741136755391,5.43515759227521,5.43515759227521,distinct_branches
rafalbigaj/instana-go-sensor,31,1,1.0,31.0,0.00017875986783302676,31,0.35752857522593706,-0.050671985279635054,2.300566933694207,0.3896155709803154,-0.8768022376475666,5.43515759227521,5.43515759227521,distinct_branches
abhimanyusingh-gh/BillForge,111,1,0.0,111.0,0.0005871089907014631,31,1.4572332962197687,-0.050671985279635054,-0.46454989815209413,1.5496826658159253,-0.8760466846000116,5.43515759227521,5.43515759227521,distinct_branches
gocmenperde/gocmenperde,149,2,0.03355704697986577,74.5,0.0006423465912520155,31,1.9795930386918386,0.2086649622274009,-0.3717607427210102,1.0204020537971783,-0.8759444805420171,5.43515759227521,5.43515759227521,distinct_branches
madmax983/scale,92,3,0.41304347826086957,30.666666666666668,0.00036870496389095953,31,1.1960534249837336,0.4680019097344369,0.677563575871378,0.3847819580851671,-0.8764507893692243,5.43515759227521,5.43515759227521,distinct_branches
COG-GTM/metamask-mobile,140,2,1.0,70.0,0.0006250251126161319,31,1.8558762575800325,0.2086649622274009,2.300566933694207,0.9551482797126752,-0.8759765298234741,5.43515759227521,5.43515759227521,distinct_branches
Interspace13/ECLIPSE-2383,31,1,0.0,31.0,0.045454545454545456,31,0.35752857522593706,-0.050671985279635054,-0.46454989815209413,0.3896155709803154,-0.7930301517907484,5.43515759227521,5.43515759227521,distinct_branches
amplitude/amplitude-docs,170,13,0.4823529411764706,13.076923076923077,0.0006695391207769805,31,2.2682655279527193,3.0613713848047968,0.8692123383855334,0.12971592377195287,-0.8758941672257817,5.43515759227521,5.43515759227521,distinct_branches
luishakludo/tstesesesesesessese,115,2,0.5826086956521739,57.5,0.0005828805449679669,31,1.5122185322694603,0.2086649622274009,1.1464312125757508,0.7738877961446111,-0.8760545083343639,5.43515759227521,5.43515759227521,distinct_branches
cai-fuqiang/cai-fuqiang,378,1,0.0,378.0,0.0014844894416670266,0,5.1274978025366815,-0.050671985279635054,-0.46454989815209413,5.421406594829772,-0.8743862952503769,-0.07819981116581376,5.421406594829772,events_per_actor
arkhanrimu/nofollowsite,377,1,1.0,377.0,0.0014766940853897376,0,5.1137514935242585,-0.050671985279635054,2.300566933694207,5.406905756144327,-0.8744007187053624,-0.07819981116581376,5.406905756144327,events_per_actor
carvalauto/carvalauto.github.io,398,2,0.49246231155778897,199.0,0.0026997876800141096,0,5.402423982785139,0.2086649622274009,0.8971659285862854,2.825756470135096,-0.8721376745573253,-0.07819981116581376,5.402423982785139,total_events
opendatahub-io/opendatahub-operator,115,22,0.7391304347826086,5.2272727272727275,0.0004609939028545544,0,1.5122185322694603,5.39540391236812,1.5792321079951719,0.015889410314525267,-0.8762800306111308,-0.07819981116581376,5.39540391236812,unique_actors
commaai/openpilot,116,22,0.09482758620689655,5.2727272727272725,0.0004664966902864129,11,1.5259648412818831,5.39540391236812,-0.20234054340804836,0.016548539345681856,-0.8762698490101885,1.878152815861646,5.39540391236812,unique_actors
xbmc/xbmc,49,22,0.16326530612244897,2.227272727272727,0.0002091916237966145,0,0.6049621374495492,5.39540391236812,-0.013102252136371546,-0.027613105741810102,-0.8767459309122926,-0.07819981116581376,5.39540391236812,unique_actors
MunGell/awesome-for-beginners,22,22,0.0,1.0,8.796094534026892e-05,0,0.23381179411413103,5.39540391236812,-0.46454989815209413,-0.0454095895830382,-0.8769702394841378,-0.07819981116581376,5.39540391236812,unique_actors
centreon/centreon,208,22,0.07211538461538461,9.454545454545455,0.0009908206185959881,28,2.790625270424789,5.39540391236812,-0.2651424343170244,0.07718841021208873,-0.8752997121352576,4.901606875813175,5.39540391236812,unique_actors
msupply-foundation/open-msupply,256,22,0.125,11.636363636363637,0.0010035319621009883,18,3.4504481030210883,5.39540391236812,-0.1189102941713065,0.10882660370760536,-0.8752761928137117,3.1231044876063936,5.39540391236812,unique_actors
huggingface/trl,91,22,0.0989010989010989,4.136363636363637,0.00037714735686014466,8,1.1823071159713108,5.39540391236812,-0.19107680489256987,7.031356676695316e-05,-0.8764351687265455,1.3446020993996115,5.39540391236812,unique_actors
e2b-dev/infra,273,22,0.3076923076923077,12.409090909090908,0.0010695187165775401,17,3.6841353562322774,5.39540391236812,0.386255280877537,0.12003179723726748,-0.8751540999998645,2.9452542487857154,5.39540391236812,unique_actors
open-telemetry/opentelemetry-collector,55,22,0.509090909090909,2.5,0.000238209702497737,7,0.6874399915240865,5.39540391236812,0.9431459435151136,-0.023658331554870522,-0.8766922398509703,1.1667518605789335,5.39540391236812,unique_actors
dayanch96/YTLite,23,22,0.0,1.0454545454545454,9.594927203704476e-05,0,0.2475581031265539,5.39540391236812,-0.46454989815209413,-0.04475046055188161,-0.8769554589832316,-0.07819981116581376,5.39540391236812,unique_actors
dotnet/dotnet,213,22,0.4131455399061033,9.681818181818182,0.0008374880078008273,30,2.859356815486904,5.39540391236812,0.6778457882444998,0.0804840553678717,-0.8755834177070049,5.257307353454531,5.39540391236812,unique_actors
noctalia-dev/noctalia-shell,27,22,0.037037037037037035,1.2272727272727273,0.00011024142872891633,0,0.3025433391762455,5.39540391236812,-0.36213816363926815,-0.04211394442725522,-0.8769290147424094,-0.07819981116581376,5.39540391236812,unique_actors
dani-garcia/vaultwarden,22,22,0.0,1.0,9.644596614746588e-05,0,0.23381179411413103,5.39540391236812,-0.46454989815209413,-0.0454095895830382,-0.8769545399687712,-0.07819981116581376,5.39540391236812,unique_actors
