actor_login,repo_name,event_count,rank,purpose_label,name_category,language
Autonomous-Builder-Bot,Autonomous-Builder-Bot/Autonomous-Builder-Bot.github.io,3,1.0,no_description,automation,
Ayan711-bot,Ayan711-bot/python,3,1.0,no_description,automation,
Ayush81-rgb-bot,Ayush81-rgb-bot/posematrix_,1,1.0,no_description,automation,
Azeez-bot,Azeez-bot/PlaywrightProject-1,1,1.0,no_description,automation,
AzharAhmed-bot,AzharAhmed-bot/CPP-DSA,3,1.0,no_description,automation,
AzharAhmed-bot,DennisBikambo/sqoolipartner,1,2.0,no_description,general,
BDavid-bot,Loganaan/the-plaza,2,1.0,no_description,general,
BLITZz-bot,BLITZz-bot/estralis,9,1.0,no_description,automation,
BLITZz-bot,BLITZz-bot/Algorhythm-Fest,2,2.0,no_description,automation,
BONDIOLA-BOT,BONDIOLA-BOT/Modulos_Maria,2,1.0,no_description,automation,
BONDIOLA-BOT,BONDIOLA-BOT/RepoPruebas,1,2.0,no_description,automation,
BOT-GIAN,BOT-GIAN/Verilog-Edge-Detector,2,1.0,no_description,automation,
BOT-GIAN,BOT-GIAN/CacheSimulator,1,2.0,no_description,automation,
BOT-GIAN,BOT-GIAN/quadTree,1,3.0,no_description,automation,
BOT-X11,BOT-X11/cicd,2,1.0,no_description,automation,
Badr-Bot,Badr-Bot/CORTEX,12,1.0,no_description,automation,
Ben0099-bot,maxkxd/ECE_2071_2131_B06,4,1.0,no_description,general,
Bereket-bot,Bereket-bot/YTCloneFocusDevLearningBasic,2,1.0,no_description,automation,
BetonQuest-Bot,BetonQuest/BetonQuest,3,1.0,no_description,general,
BetterRTX-Bot,BetterRTX/Uptime-Monitor,7,1.0,no_description,general,
Bingus-Bot,Bingus-Bot/practice1_webdev,1,1.0,no_description,automation,
Blfb0-bot,Blfb0-bot/project-management,4,1.0,no_description,automation,
Blfb0-bot,Blfb0-bot/projet-vue.js,1,2.0,no_description,automation,
Blfb0-bot,Blfb0-bot/projet-web,1,3.0,no_description,automation,
Bluque-Bot,abianciotto-12/pi-tdfe-grupo-integrador,3,1.0,no_description,general,
BoleynSu-Bot,BoleynSu-Org/monorepo,5,1.0,no_description,general,
BoogyMan-bot,BoogyMan-bot/sentinel-1-soil-moisture,24,1.0,no_description,automation,
Bot-1-Iamthenoob,Bot-1-Iamthenoob/BazZarHub,1,1.0,no_description,automation,
Bot-1-Iamthenoob,Bot-1-Iamthenoob/Hub,1,2.0,no_description,automation,
Bot-106,FRC1360/Rebuilt2026,3,1.0,no_description,general,
Bot-Bai,leethomason/tinyxml2,1,1.0,no_description,general,
Bot-Dev-RPA,A360-Tools/Browser-Automation,2,1.0,no_description,automation,
Bot-Dev-RPA,A360-Tools/Toolbox,2,2.0,no_description,general,
Bot-Dev-RPA,A360-Tools/Credentials,1,3.0,no_description,general,
Bot-Dragon1122,Bot-Dragon1122/Boardman,5,1.0,no_description,automation,
