repo_name,total_events,unique_actors,bot_events,first_event,last_event,phish_name_flag,ai_coauthor_flag,total_payload_b,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
melogabriel/melogabriel,1,1,1,2026-04-15 12:00:56+00:00,2026-04-15 12:00:56+00:00,False,False,620,1.0,1.0,0.0,1.0,1,0,4
maotou5588/liuliwen,1,1,1,2026-04-15 12:00:56+00:00,2026-04-15 12:00:56+00:00,False,False,612,1.0,1.0,0.0,1.0,1,0,4
Pdoor/ata4-mtr3,1,1,1,2026-04-15 12:00:56+00:00,2026-04-15 12:00:56+00:00,False,False,606,1.0,1.0,0.0,1.0,1,0,4
petereskandar/amazon-bedrock-calculator,1,1,1,2026-04-15 12:00:56+00:00,2026-04-15 12:00:56+00:00,False,False,743,1.0,1.0,0.0,1.0,1,1,4
claraherz/claraherz,1,1,1,2026-04-15 12:00:54+00:00,2026-04-15 12:00:54+00:00,False,False,614,1.0,1.0,0.0,1.0,1,0,4
kit-data-manager/repo-core,1,1,1,2026-04-15 12:00:54+00:00,2026-04-15 12:00:54+00:00,False,False,873,1.0,1.0,0.0,1.0,1,1,4
gemini-industries/dollarsbookedscreen,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,False,False,650,1.0,1.0,0.0,1.0,1,0,4
Mhhickma/dealdrop,1,1,1,2026-04-15 12:00:58+00:00,2026-04-15 12:00:58+00:00,False,False,610,1.0,1.0,0.0,1.0,1,0,4
ViajesVeleta/viajes-veleta-web,1,1,1,2026-04-15 12:00:58+00:00,2026-04-15 12:00:58+00:00,False,False,853,1.0,1.0,0.0,1.0,1,0,4
honzasob41-lab/FVE_new,1,1,1,2026-04-15 12:00:58+00:00,2026-04-15 12:00:58+00:00,False,False,620,1.0,1.0,0.0,1.0,1,0,4
edlontech/sycophant,1,1,1,2026-04-15 12:00:58+00:00,2026-04-15 12:00:58+00:00,False,False,843,1.0,1.0,0.0,1.0,1,0,4
annoushqa-bobde/SF_Pulse,1,1,1,2026-04-15 12:00:58+00:00,2026-04-15 12:00:58+00:00,False,False,624,1.0,1.0,0.0,1.0,1,0,4
ccorrion/public,1,1,1,2026-04-15 12:00:58+00:00,2026-04-15 12:00:58+00:00,False,False,633,1.0,1.0,0.0,1.0,1,0,4
kb3cat/pa-alerts,1,1,1,2026-04-15 12:00:58+00:00,2026-04-15 12:00:58+00:00,False,False,608,1.0,1.0,0.0,1.0,1,0,4
daniel-st3/poly-what,1,1,1,2026-04-15 12:00:58+00:00,2026-04-15 12:00:58+00:00,False,False,616,1.0,1.0,0.0,1.0,1,0,4
open-edge-platform/training_extensions,1,1,1,2026-04-15 12:00:56+00:00,2026-04-15 12:00:56+00:00,False,False,1018,1.0,1.0,0.0,1.0,1,1,4
siderolabs/omni,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,False,False,795,1.0,1.0,0.0,1.0,1,0,4
conda-forge/conda-forge-status-monitor,1,1,1,2026-04-15 12:00:56+00:00,2026-04-15 12:00:56+00:00,False,False,853,1.0,1.0,0.0,1.0,1,0,4
tomb003/yt,1,1,1,2026-04-15 12:00:56+00:00,2026-04-15 12:00:56+00:00,False,False,592,1.0,1.0,0.0,1.0,1,0,4
amonigulo/redesigned-octo-fortnight,1,1,1,2026-04-15 12:00:56+00:00,2026-04-15 12:00:56+00:00,False,False,648,1.0,1.0,0.0,1.0,1,0,4
Roshavarma/sports-streams-cache,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,False,False,638,1.0,1.0,0.0,1.0,1,0,4
jimhouserock/data_pipeline_test_github_actions,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,False,False,668,1.0,1.0,0.0,1.0,1,0,4
0x4272616E646F6E/homelab,4,1,4,2026-04-15 12:00:55+00:00,2026-04-15 12:01:16+00:00,False,False,2879,4.0,1.0,21.0,0.19047619047619047,3,1,4
mission-arcturus/toffe,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,False,False,620,1.0,1.0,0.0,1.0,1,0,4
SchanderMadelene/onecore-frontend,1,1,1,2026-04-15 12:01:59+00:00,2026-04-15 12:01:59+00:00,False,False,602,1.0,1.0,0.0,1.0,1,1,4
